COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS,label,source_file,video_title,content_clean,comment_length,token_count,url_count,exclamation_count,uppercase_ratio,has_url,actual,predicted,spam_probability,error_type
z131xnrwqtybhzilh22hipqauyuhvnlx104,Cem Devecioğlu devecioğlu,2014-11-10 16:14:20,Hii youtube﻿,0,ham,Youtube02-KatyPerry.csv,Katy Perry - Roar,hii youtube,12,2,0,0,0.1,0,0,1,0.7286531088233927,false_positive
z13tj514otzlurfbc04ccjwhrnmej1iihqw0k,Brandon Pryor,2014-01-19 00:36:25,I dont even watch it anymore i just come here to check on 2 Billion or not﻿,0,ham,Youtube01-Psy.csv,PSY - GANGNAM STYLE,i dont even watch it anymore i just come here to check on 2 billion or not,75,17,0,0,0.03508771929824561,0,0,1,0.6579973021501089,false_positive
z12rc1ebfvrmufz5w04ccl2pmt3ih5dymq40k,fastestghost,2014-01-21 02:09:22,The first comment is chuck norrus ovbiously :D﻿,0,ham,Youtube01-Psy.csv,PSY - GANGNAM STYLE,the first comment is chuck norrus ovbiously d,47,8,0,0,0.05263157894736842,0,0,1,0.6440752726848817,false_positive
z13fhbspolbawj5tn22bsbw5ynvlt1kku,Paul Crowder,,"This Will Always Be My Favorite Song<br />But My Favorite Part Is <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m40s"">3:40</a>-<a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=4m11s"">4:11</a> In The Video ﻿",0,ham,Youtube03-LMFAO.csv,LMFAO - Party Rock Anthem,this will always be my favorite song br but my favorite part is a href url href url in the video,228,19,2,0,0.1564625850340136,1,0,1,0.617369274513044,false_positive
z13lwjvwbrqgdrdut22qhf54gvqwuz1nv,Thalia Grace,2014-09-14 15:55:13,This comment will randomly get lot's of likes and replies for no reason. I  also like Jello. Strawberry jello.﻿,0,ham,Youtube02-KatyPerry.csv,Katy Perry - Roar,this comment will randomly get lot s of likes and replies for no reason i also like jello strawberry jello,111,19,0,0,0.04597701149425287,0,0,1,0.5781071281423318,false_positive
z12iircxtsjpwvqbd04chjzbemjtj5kohxg0k,Bert Dionne,2014-11-07 18:05:40,The most liked video on YouTube...﻿,0,ham,Youtube01-Psy.csv,PSY - GANGNAM STYLE,the most liked video on youtube,35,6,0,0,0.11538461538461539,0,0,1,0.5735980563977117,false_positive
z12zyrnp1unbczz0v23mhr3wwoa0vfcak04,Kaida Tong,2014-09-19 19:25:33,"Since she is a feminist champion, why would she want to reinforce the  stereotype of girls being girly by painting the nails of an elephant that  probably wouldn't even appreciate it?﻿",0,ham,Youtube02-KatyPerry.csv,Katy Perry - Roar,since she is a feminist champion why would she want to reinforce the stereotype of girls being girly by painting the nails of an elephant that probably wouldn t even appreciate it,184,31,0,0,0.006756756756756757,0,0,1,0.5313289158008826,false_positive
z13eenia5rqwhvmyw04cgt441wapvbkakzo0k,faisal joy,,Hi I am from bangladesh 💜﻿,0,ham,Youtube04-Eminem.csv,Eminem - Love The Way You Lie,hi i am from bangladesh,26,6,0,0,0.10526315789473684,0,0,1,0.5150732545959859,false_positive
LneaDw26bFsNko3TEEPMTxWPlFophSSKkSqvjRsENU8,arrgh garry,,"My friends wife earns 4000DOLLARS a month ,you can do it do if you want to be a wwhore ,you can not get these type of wages for working from home on a PC taking surveys ...dont believe that shit,just because yahoo and other are taking their money does not mean they are LEGIT ..Please like this so the MSG gets thru to vulnerable  people Like eminem used to be ",1,spam,Youtube04-Eminem.csv,Eminem - Love The Way You Lie,my friends wife earns 4000dollars a month you can do it do if you want to be a wwhore you can not get these type of wages for working from home on a pc taking surveys dont believe that shit just because yahoo and other are taking their money does not mean they are legit please like this so the msg gets thru to vulnerable people like eminem used to be,361,70,0,0,0.07194244604316546,0,1,0,0.4969453929396735,false_negative
_2viQ_Qnc6-Lev7nxVg9RnkxHYNAykFf9lV9qiEIFJY,macgyver16,,adf.ly / KlD3Y,1,spam,Youtube05-Shakira.csv,Shakira - Waka Waka,adf ly kld3y,14,3,0,0,0.3333333333333333,0,1,0,0.49459643794183855,false_negative
_2viQ_Qnc68ked0J7OAfephXPfR-pvW7HiuIC5ZRduI,macgyver16,,adf.ly /KlD3Y,1,spam,Youtube05-Shakira.csv,Shakira - Waka Waka,adf ly kld3y,13,2,0,0,0.3333333333333333,0,1,0,0.49459643794183855,false_negative
_2viQ_Qnc69N53yIJS3ZrRHmdbS1qZLnkXgodzIegJM,BloggerGaming2229,,Message :   GTA V  $20  FIFA 14 $15  PS4  $200  Galaxy S4 mini $250  Ipad 4   $200  visit the site hh.nl,1,spam,Youtube05-Shakira.csv,Shakira - Waka Waka,message gta v 20 fifa 14 15 ps4 200 galaxy s4 mini 250 ipad 4 200 visit the site hh nl,104,21,0,0,0.2916666666666667,0,1,0,0.4917856065976839,false_negative
LneaDw26bFtE0-kLDaaiizhZVUyP1tE0FLTPo6TPFPY,Amir bassem,,subscribe me if u love eminem,1,spam,Youtube04-Eminem.csv,Eminem - Love The Way You Lie,subscribe me if u love eminem,29,6,0,0,0.0,0,1,0,0.4836091789837495,false_negative
z12qxxchsv2oetuut22jwxur3tjjcvmw004,D Germain,2014-10-29 21:34:30,please look up DHG SONGS this is my playlist with a bunch of amazing songs ﻿,1,spam,Youtube02-KatyPerry.csv,Katy Perry - Roar,please look up dhg songs this is my playlist with a bunch of amazing songs,76,16,0,0,0.13333333333333333,0,1,0,0.4809700513197459,false_negative
z13isvpjcwadtnxfa23sdd0ipp20wzxdd,rtfamily,,"Definitley the song for 2010 when im not listening to gypsy SHAKIRA ROCKS<br /><span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/101721377578919894134"" oid=""101721377578919894134"">shakiraVEVO</a></span>﻿",1,spam,Youtube05-Shakira.csv,Shakira - Waka Waka,definitley the song for 2010 when im not listening to gypsy shakira rocks br span class proflinkwrapper span class proflinkprefix span a class proflink href url oid 101721377578919894134 shakiravevo a span,270,19,1,0,0.11515151515151516,1,1,0,0.4699592366717053,false_negative
z134e5zjck2agxwd423hdjgx1y3ndvhf4,Christopher Pete S.,2014-09-07 22:39:21,Subscribe and u are gonna hear me roar ;)﻿,1,spam,Youtube02-KatyPerry.csv,Katy Perry - Roar,subscribe and u are gonna hear me roar,42,9,0,0,0.03225806451612903,0,1,0,0.4433787515901479,false_negative
z13qfdrbsxfawpbzz04cclnxskurjhjwgas,Filthy BarDown,,Can i get views and subscribers for no reason? 😅﻿,1,spam,Youtube03-LMFAO.csv,LMFAO - Party Rock Anthem,can i get views and subscribers for no reason,49,10,0,0,0.02702702702702703,0,1,0,0.41726997674623767,false_negative
z13sfvhiwxmqz3xad04cddehoyr5g1i5c0s,TWIN MELODY,2014-09-02 19:57:01,"  HI!:D!:) We’ re TWIN MELODY ,17 year old twins :) WE DID SOME COVERS!!WE DID A COVER OF BIRTHDAY BY KATY PERRY!!  PLEASE JUST TAKE 1 SECOND AND WATCH IT!! THANKS,MERCI,GRACIAS,DANKE,OBRIGADO,GRAZIE ….    !!!  &lt;3  XX HAVE A NICE DAY!!:D﻿",1,spam,Youtube02-KatyPerry.csv,Katy Perry - Roar,hi d we re twin melody 17 year old twins we did some covers we did a cover of birthday by katy perry please just take 1 second and watch it thanks merci gracias danke obrigado grazie lt 3 xx have a nice day d,241,39,0,13,0.89375,0,1,0,0.41308935268510205,false_negative
z13bcdoyolulstiif04cef2bvmepy1i54k40k,Khris Parkhill,2014-11-02 02:37:16,The Perry you're doing a good job good job I love all of their videos and  by the way can you please describe to my channel please please please  please I'm trying to get as many comments to Skyburst lights is a cancer  and get famous please﻿,1,spam,Youtube02-KatyPerry.csv,Katy Perry - Roar,the perry you re doing a good job good job i love all of their videos and by the way can you please describe to my channel please please please please i m trying to get as many comments to skyburst lights is a cancer and get famous please,242,47,0,0,0.02631578947368421,0,1,0,0.3491010236438858,false_negative
z13oxrgicuueitsig04cijfwpunexhgyd3k,FreddyLegends Songs,,IIIIIIIIIII LOVE THIS SHAKE IT SONG OH SORRY EVERY SHAKE IT SONG I LIKE WATCH SUBSCRIBE AND NEVER UNLIKE BROOOOO!!!!!!!!!!! SHAKE IT UP﻿,1,spam,Youtube03-LMFAO.csv,LMFAO - Party Rock Anthem,iiiiiiiiiii love this shake it song oh sorry every shake it song i like watch subscribe and never unlike brooooo shake it up,136,23,0,11,1.0,0,1,0,0.34665703662279546,false_negative
z13jg1hq5nbadhifc224jptibp2hc511n,JuniorVlogz,,Like this comment if you still jam out to this song after 4 years ﻿,1,spam,Youtube03-LMFAO.csv,LMFAO - Party Rock Anthem,like this comment if you still jam out to this song after 4 years,67,15,0,0,0.0196078431372549,0,1,0,0.33159719762210543,false_negative
z133vdcgmrijgrhld22zst0i2nfnvdvxa04,How To,,PLEASSSSSSSSSSSSSSSS SUBSCRIBEEEEEEEEEE MY CHANNNNNNELLL PLZZ﻿,1,spam,Youtube05-Shakira.csv,Shakira - Waka Waka,pleassssssssssssssss subscribeeeeeeeeee my channnnnnelll plzz,62,5,0,0,1.0,0,1,0,0.31856488245740605,false_negative
LneaDw26bFuiuUSZ-vXu3wz5XEsS6fhI7SHFsSXLcdo,ViperFoe,,"Wow justin Bieber is Better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman.",1,spam,Youtube04-Eminem.csv,Eminem - Love The Way You Lie,wow justin bieber is better thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice and flaming hot cheetos that he can eat with the power of the samurman,286,53,0,0,0.012987012987012988,0,1,0,0.30857597800920633,false_negative
z12tgphxmvmizr5h104cjzr5rle3tftgch0,joann belin,,give it a like﻿,1,spam,Youtube03-LMFAO.csv,LMFAO - Party Rock Anthem,give it a like,15,4,0,0,0.0,0,1,0,0.2810926731349736,false_negative
z13tyhj4drvcxzllt222tvwp3qi1e34ju04,Inga Lomidze,,like please﻿,1,spam,Youtube04-Eminem.csv,Eminem - Love The Way You Lie,like please,12,2,0,0,0.0,0,1,0,0.2810926731349736,false_negative
LneaDw26bFsXWfdCYFbqrDwjflNnbdxcinzjRtW2rzw,FreshX,,Share this video.. This song can beat PSY - Gangnam Style!,1,spam,Youtube04-Eminem.csv,Eminem - Love The Way You Lie,share this video this song can beat psy gangnam style,58,11,0,1,0.1590909090909091,0,1,0,0.27520237335016307,false_negative
_2viQ_Qnc69hCwlRZTPP7JejZgoroMu8egbziE1hSAc,Mini Mus,,WOW muslims are really egoistic..... 23% of the World population and not in this video or donating 1 dollar to the poor ones in Africa :( shame on those terrorist muslims,1,spam,Youtube05-Shakira.csv,Shakira - Waka Waka,wow muslims are really egoistic 23 of the world population and not in this video or donating 1 dollar to the poor ones in africa shame on those terrorist muslims,170,31,0,0,0.03875968992248062,0,1,0,0.2716513089031769,false_negative
z123ydw50qjkfzm5s04cdlzziubxtz0ijfk,redouane najja,,Fuck it was the best ever 0687119038 nummber of patrik kluivert his son share !﻿,1,spam,Youtube05-Shakira.csv,Shakira - Waka Waka,fuck it was the best ever 0687119038 nummber of patrik kluivert his son share,80,15,0,1,0.018518518518518517,0,1,0,0.2595888368251248,false_negative
z134htdz0kjvgbd5w04cebardrm5zp15mw40k,Matt Twine,2014-10-10 16:24:57,Nice song .See my new track.﻿,1,spam,Youtube02-KatyPerry.csv,Katy Perry - Roar,nice song see my new track,29,6,0,0,0.09523809523809523,0,1,0,0.22458973280590494,false_negative
z13wd3dwlrifgl3mj22vcdci0yiaubueb,Hermen De Greef,,Yea stil the best WK song ever<br />Thumbs up of you think the same<br />﻿,1,spam,Youtube05-Shakira.csv,Shakira - Waka Waka,yea stil the best wk song ever br thumbs up of you think the same br,74,15,0,0,0.07547169811320754,0,1,0,0.19701345182469387,false_negative
z12uujnj2sifvzvav04chpypvofvexpoggg,Sudheer Yadav,,SEE SOME MORE SONG OPEN GOOGLE AND TYPE Shakira GuruOfMovie﻿,1,spam,Youtube05-Shakira.csv,Shakira - Waka Waka,see some more song open google and type shakira guruofmovie,60,10,0,0,0.72,0,1,0,0.14853151883482782,false_negative
