COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS,label,source_file,video_title,content_clean,comment_length,token_count,url_count,exclamation_count,uppercase_ratio,has_url
LZQPQhLyRh80UYxNuaDWhIGQYNQ96IuCg-AYWqNPjpU,Julius NM,2013-11-07 06:20:48,"Huh, anyway check out this you[tube] channel: kobyoshi02",1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,huh anyway check out this you tube channel kobyoshi02,56,8,0,0,0.023255813953488372,0
LZQPQhLyRh_C2cTtd9MvFRJedxydaVW-2sNg5Diuo4A,adam riyati,2013-11-07 12:37:15,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,hey guys check out my new channel and our first vid this is us the monkeys i m the monkey in the white shirt please leave a like comment and please subscribe,166,30,0,7,0.15873015873015872,0
LZQPQhLyRh9MSZYnf8djyk0gEF9BHDPYrrK-qCczIY8,Evgeny Murashkin,2013-11-08 17:34:21,just for test I have to say murdev.com,1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,just for test i have to say murdev com,38,8,0,0,0.03333333333333333,0
z13jhp0bxqncu512g22wvzkasxmvvzjaz04,ElNino Melendez,2013-11-09 08:28:43,me shaking my sexy ass on my channel enjoy ^_^ ﻿,1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,me shaking my sexy ass on my channel enjoy,48,11,0,0,0.0,0
z13fwbwp1oujthgqj04chlngpvzmtt3r3dw,GsMega,2013-11-10 16:05:38,watch?v=vtaRGgvGtWQ   Check this out .﻿,1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,watch v vtarggvgtwq check this out,39,5,0,0,0.20689655172413793,0
LZQPQhLyRh9-wNRtlZDM90f1k0BrdVdJyN_YsaSwfxc,Jason Haddad,2013-11-26 02:55:11,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,hey check out my new website this site is about kids stuff kidsmediausa com,82,15,0,2,0.03225806451612903,0
z13lfzdo5vmdi1cm123te5uz2mqig1brz04,ferleck ferles,2013-11-27 21:39:24,Subscribe to my channel ﻿,1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,subscribe to my channel,25,5,0,0,0.05,0
z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k,Bob Kanowski,2013-11-28 12:33:27,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0,ham,Youtube01-Psy.csv,PSY - GANGNAM STYLE,i turned it on mute as soon is i came on i just wanted to check the views,78,18,0,0,0.0,0
z13ttt1jcraqexk2o234ghbgzxymz1zzi04,Cony,2013-11-28 16:01:47,You should check my channel for Funny VIDEOS!!﻿,1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,you should check my channel for funny videos,47,8,0,2,0.21621621621621623,0
z12avveb4xqiirsix04chxviiljryduwxg0,BeBe Burkey,2013-11-28 16:30:13,and u should.d check my channel and tell me what I should do next!﻿,1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,and u should d check my channel and tell me what i should do next,67,14,0,1,0.0196078431372549,0
z13auhww3oufjn1qo04ci3grqqjmfjexxuo0k,Huckyduck,2013-11-28 17:06:17,Hey subscribe to me﻿,1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,hey subscribe to me,20,4,0,0,0.0625,0
z13xit5agm2zyh4f523rst2gowmbx5bml,Lone Twistt,2013-11-28 17:34:55, Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,once you have started reading do not stop if you do not subscribe to me within one day you and you re entire family will die so if you want to stay alive subscribe right now,179,35,0,0,0.014492753623188406,0
z13pejoiuozwxtdu323dspopnri4xts0f,Archie Lewis,2013-11-28 17:54:39,https://twitter.com/GBphotographyGB﻿,1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,url,36,1,1,0,0.13333333333333333,1
z121zxaxsq25z5k5o04ch1o5jqqfij3gtm40k,TheUploadaddict,2013-11-28 18:12:12,subscribe like comment﻿,1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,subscribe like comment,23,3,0,0,0.0,0
z12oglnpoq3gjh4om04cfdlbgp2uepyytpw0k,Francisco Nora,2013-11-28 19:52:35,please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,1,spam,Youtube01-Psy.csv,PSY - GANGNAM STYLE,please like d url,72,4,1,0,0.022222222222222223,1
